code,Age,Sexe,indigène,problèmes de santé,le travail à la maison,préscolaire,Travail,interne / externe,Qualification de la mère, Qualification Du père,Profession de la mère,Profession du père,Divorcé,Mort,Revenu familial,aide aux devoirs,Specialté,Nombre de répitition,Score primaire,Score collégial,Score actuel,score en mathématiques,score en langue arabe,score en première langue,Public / Privé,Zone,Nombre d'enseignants,Electricité,Eau,pc,Livres,État civil,Origine,motivation,Style d'apprentissage,Satisfaction du cours,انقطع | مثعثر دراسيا|جيد|
1,7,M,non,psychique,non,non,non,interne,universitaire,primaire,ménagère,ouvrier,oui,non,< 3000 MAD,oui,autre,1,3.81,6.61,10.93,14.36,18.0,10.13,Privé,rural,6,oui,oui,non,non,marié,rural,non,Visuel,oui,مثعثر دراسيا
2,9,M,non,physique,non,non,oui,externe,secondaire,primaire,enseignante,médecin,non,non,< 3000 MAD,non,littéraire,0,6.24,8.73,12.11,12.45,14.25,9.92,Privé,urbain,10,oui,oui,oui,non,marié,urbain,non,Kinesthésique,non,جيد
3,9,M,oui,psychique,non,non,oui,externe,secondaire,non,enseignante,enseignant,non,non,< 3000 MAD,oui,scientifique,3,6.41,17.02,16.18,16.43,5.88,9.67,Privé,urbain,1,oui,oui,non,oui,célibataire,urbain,non,Normal,partiellement,انقطعت
4,16,F,non,psychique,non,oui,non,interne,universitaire,primaire,autre,médecin,non,non,< 3000 MAD,non,littéraire,2,5.65,5.85,9.94,17.38,16.03,12.49,Public,urbain,4,oui,oui,oui,non,marié,urbain,non,Normal,oui,جيد
5,16,M,non,psychique,non,oui,non,externe,non,primaire,médecin,médecin,non,oui,< 3000 MAD,non,scientifique,3,5.29,12.05,11.18,9.33,7.08,15.23,Public,urbain,4,oui,oui,non,non,célibataire,urbain,non,Visuel,oui,انقطعت
6,6,M,oui,physique,non,oui,non,externe,secondaire,universitaire,ménagère,enseignant,oui,non,> 6000 MAD,oui,autre,0,3.89,11.31,14.27,16.87,14.97,8.31,Privé,rural,10,oui,oui,non,oui,célibataire,rural,non,Auditif,non,انقطعت
7,6,M,non,Non,non,oui,non,interne,primaire,universitaire,médecin,enseignant,oui,oui,< 3000 MAD,non,autre,2,6.79,5.36,10.24,7.93,8.04,14.84,Public,rural,6,oui,oui,non,oui,marié,rural,oui,Visuel,oui,مثعثر دراسيا
8,17,F,oui,Non,non,non,non,interne,primaire,non,autre,ouvrier,non,oui,< 3000 MAD,non,scientifique,3,7.47,17.3,9.4,15.55,10.35,17.79,Public,urbain,7,oui,oui,oui,non,marié,urbain,non,Visuel,oui,انقطعت
9,18,F,non,psychique,oui,oui,oui,interne,non,non,ménagère,autre,non,oui,3000-6000 MAD,oui,autre,0,4.99,6.48,7.25,18.0,6.82,15.33,Privé,urbain,1,oui,oui,non,non,marié,urbain,oui,Visuel,partiellement,انقطعت
10,6,F,non,psychique,oui,non,non,interne,universitaire,primaire,ménagère,ouvrier,non,non,> 6000 MAD,non,autre,3,5.69,12.39,16.59,17.9,12.56,15.5,Public,urbain,8,oui,oui,oui,oui,marié,urbain,oui,Auditif,non,جيد
11,14,M,oui,Non,oui,oui,oui,interne,non,non,ménagère,médecin,oui,oui,< 3000 MAD,oui,scientifique,1,7.32,16.16,14.03,8.24,13.17,6.04,Public,urbain,1,oui,oui,non,oui,marié,urbain,oui,Normal,partiellement,انقطعت
12,18,M,oui,Non,oui,non,non,interne,non,non,enseignante,ouvrier,oui,oui,< 3000 MAD,non,littéraire,0,7.04,7.01,6.76,17.34,18.0,17.38,Privé,urbain,4,oui,oui,oui,non,marié,urbain,oui,Kinesthésique,oui,مثعثر دراسيا
13,17,M,oui,psychique,oui,oui,non,interne,secondaire,secondaire,autre,médecin,non,non,> 6000 MAD,non,littéraire,3,5.64,18.0,11.53,5.95,18.0,18.0,Privé,urbain,9,oui,oui,oui,oui,marié,urbain,non,Visuel,oui,مثعثر دراسيا
